"Cluster","Category","Count","Percentage"
"backarc","NRPS",157,15.64
"backarc","PKS",126,12.55
"backarc","RiPP",353,35.16
"backarc","other",112,11.16
"backarc","terpene",256,25.5
"forearc","NRPS",230,17.27
"forearc","PKS",162,12.16
"forearc","RiPP",402,30.18
"forearc","other",189,14.19
"forearc","terpene",349,26.2
"on_axis","NRPS",53,27.46
"on_axis","PKS",23,11.92
"on_axis","RiPP",71,36.79
"on_axis","other",24,12.44
"on_axis","terpene",22,11.4
"outer_forearc","NRPS",201,15.74
"outer_forearc","PKS",176,13.78
"outer_forearc","RiPP",369,28.9
"outer_forearc","other",209,16.37
"outer_forearc","terpene",322,25.22
"volcanic_arc","NRPS",5398,21.22
"volcanic_arc","PKS",3568,14.03
"volcanic_arc","RiPP",7690,30.24
"volcanic_arc","other",3687,14.5
"volcanic_arc","saccharide",3,0.01
"volcanic_arc","terpene",5087,20
