"Cluster","Category","Count","Percentage"
"AEO","NRPS",593,18.79
"AEO","PKS",423,13.4
"AEO","RiPP",1009,31.97
"AEO","other",537,17.02
"AEO","terpene",594,18.82
"Argentina","NRPS",77,14.67
"Argentina","PKS",60,11.43
"Argentina","RiPP",188,35.81
"Argentina","other",49,9.33
"Argentina","terpene",151,28.76
"Chile","NRPS",3423,24.67
"Chile","PKS",2041,14.71
"Chile","RiPP",4019,28.97
"Chile","other",1839,13.26
"Chile","saccharide",1,0.01
"Chile","terpene",2551,18.39
"Costa Rica","NRPS",1995,16.69
"Costa Rica","PKS",1630,13.64
"Costa Rica","RiPP",3716,31.1
"Costa Rica","other",1744,14.59
"Costa Rica","saccharide",1,0.01
"Costa Rica","terpene",2864,23.97
"EPR","NRPS",293,22.5
"EPR","PKS",265,20.35
"EPR","RiPP",301,23.12
"EPR","other",122,9.37
"EPR","terpene",321,24.65
"FEN","NRPS",45,14.24
"FEN","PKS",49,15.51
"FEN","RiPP",98,31.01
"FEN","other",53,16.77
"FEN","saccharide",1,0.32
"FEN","terpene",70,22.15
"GUY","NRPS",227,13.72
"GUY","PKS",359,21.7
"GUY","RiPP",443,26.78
"GUY","other",169,10.22
"GUY","terpene",456,27.57
"HYD","NRPS",332,18.71
"HYD","PKS",234,13.19
"HYD","RiPP",576,32.47
"HYD","other",236,13.3
"HYD","saccharide",1,0.06
"HYD","terpene",395,22.27
"Iceland","NRPS",53,27.46
"Iceland","PKS",23,11.92
"Iceland","RiPP",71,36.79
"Iceland","other",24,12.44
"Iceland","terpene",22,11.4
"Mongolia","NRPS",305,12.86
"Mongolia","PKS",211,8.9
"Mongolia","RiPP",546,23.02
"Mongolia","other",207,8.73
"Mongolia","terpene",1103,46.5
