Cluster,volcanic_province,count,percentage_contribution
1,CAVA,52,51.48514851485149
1,SA-CVZ (volcanic arc),25,24.752475247524753
1,AAVP,9,8.91089108910891
1,CAOB,6,5.9405940594059405
1,TLVP,4,3.9603960396039604
1,EPR,2,1.9801980198019802
1,Guaymas basin,2,1.9801980198019802
1,Campania,1,0.9900990099009901
2,CAVA,26,37.142857142857146
2,Campania,13,18.571428571428573
2,SA-CVZ (backarc),12,17.142857142857142
2,SA-CVZ (volcanic arc),10,14.285714285714285
2,EPR,2,2.857142857142857
2,RVB,2,2.857142857142857
2,TLVP,2,2.857142857142857
2,AAVP,1,1.4285714285714286
2,CAOB,1,1.4285714285714286
2,Guaymas basin,1,1.4285714285714286
3,SA-CVZ (volcanic arc),11,22.916666666666664
3,CAVA,10,20.833333333333336
3,SA-CVZ (backarc),10,20.833333333333336
3,RVB,8,16.666666666666664
3,EPR,5,10.416666666666668
3,Campania,3,6.25
3,TLVP,1,2.083333333333333
