BIOSAMPLE_ID,ExpID,SiteID,CollectionID,site_name,series,continent,country,year,date,StrataID,tectonicType1,tectonicType2,tectonicType3,tectonicType4,featureClass,featureType,hazardCode,matCode,wellDepth,layer,rockType,lithology,lithologyUnit,waterType,latitude,longitude,elevation,temp,ph,spc,orp,do_sat,do,tds,sal,alk_tot,sio2,sulfide,fe2,gasFlow,fluidFlow,weather,airTemp,cl,br,no3,so4,po4,li,na,nh4,k,mg,ca,v,mn,fe,co,ni,cu,zn,se,mo,w,be,bo,al,ti,cr,ga,as,rb,sr,y,zr,nb,ag,cd,cs,ba,la,ce,pr,nd,sm,eu,gd,dy,ho,er,tm,yb,ta,re,tl,pb,th,u,v_s,mn_s,fe_s,co_s,ni_s,cu_s,zn_s,se_s,mo_s,w_s,be_s,bo_s,al_s,ti_s,cr_s,ga_s,as_s,rb_s,sr_s,y_s,zr_s,nb_s,ag_s,cd_s,cs_s,ba_s,la_s,ce_s,pr_s,nd_s,sm_s,eu_s,gd_s,dy_s,ho_s,er_s,tm_s,yb_s,ta_s,re_s,tl_s,pb_s,th_s,u_s,toc,poc,pon,tc,tn,cn,prt,chla,D_w,d18O_w,d13DIC,d13TOC,d13TC,d13POC,d13DOC,d15TN,d15PON,d34TS,pcf,pcfb,pcs,pcsb,gphase,co2,ch4,s,he,h2,o2,ar,n2,co.1,d13CO2,d13CH4,co2.1,ch4.1,s.1,he.1,h2.1,o2.1,ar.1,n2.1,co.2,d13CO2.1,d13CH4.1,ngPhase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,SfA,CT,SedThic_Oc,SedThic_On,DistCoast,Time_rift,DSub,DMOR,DHS,DV,HF,PV,SR,slab_name,SDepth,SDip,ConvR,ConvAge
AEO22_AC_220827_F,AEO22,AC,AC_220827,acque_calde,1,EU,Italy,2022,2022-08-27 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,subaerial,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.417502,14.959262,1,30,3.42,19.99,3.42,12.6,157.3,9998,11.82,,,,,,,,,8737.1875,18.5355,3.931,2453.251,,,3672.963,,182.761,432.629,337.1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04734957,0,,4.22268E-06,,0.000616265,0.013051193,0.481304049,,,,,,,,,,,,,23171.82043,,,,,,,,,,,,,,,,
AEO22_FV_220827_F,AEO22,FV,FV_220827,fangaia_vulcano,2,EU,Italy,2022,2022-08-27 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,subaerial,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.416171,14.959509,5,41.5,1.82,15.72,267.4,13.3,0.81,7885,8.96,,,,,,,,,3113.711,8.001,,4271.668,,,1403.3775,8.675,163.074,203.6225,310.1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.666168848,0,,2.47768E-05,,0.001665087,0.047832061,3.387623971,,,,,,,,,,,,,23175.42611,,,,,,,,,,,,,,,,
AEO22_LB_220827_F,AEO22,LB,LB_220827,levante_bay,3,EU,Italy,2022,2022-08-27 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,submarine ,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.4167042,14.9599477,-1,57,5.19,55.11,-28.3,30,1.81,27.56,36.3,255,,,,,,,,29171.065,36.8125,,3052.5375,,,11182.795,,491.9045,1329.2825,69.3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7876204,0.001853896,,6.2136E-06,,0.000263507,0.006692691,0.302706751,,,,,,,,,,,,,23174.95751,,,,,,,,,,,,,,,,
AEO22_GV_220827_F,AEO22,GV,GV_220827,geyser_vulcano,4,EU,Italy,2022,2022-08-27 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,submarine ,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.4175871,14.9599809,-1.6,72,5.78,56.95,21,77.1,4.87,28.92,38.53,225,,,,,,,,30927.84,69.539,,3077.583,,,11939.21,,436.3105,1445.4385,461.8725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23172.92337,,,,,,,,,,,,,,,,
AEO22_VL_220828_F,AEO22,VL,VL_220828,villa_levante,6,EU,Italy,2022,2022-08-28 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,subaerial,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.412195,14.963652,0,64.4,3.39,55.11,-15.2,64.1,3.22,27.56,35.63,,,,,,,,,27660.02,59.0175,,5067.0815,,,9763.1475,,888.991,1978.2615,778.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3218094,0,,5.97318E-06,,0.000410944,0.005713153,0.198871916,,,,,,,,,,,,,23192.37746,,,,,,,,,,,,,,,,
AEO22_BP2_220829_F,AEO22,BP2,BP2_220829,black_point_white,7,EU,Italy,2022,2022-08-29 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,submarine ,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.3814,15.0618,-22,32,4.56,54.36,-30.2,23,,27.1,35.73,,,,,,,,,30365.925,70.8575,,3012.15,,,11555.865,,469.367,1372.0415,672.3575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23024.85308,,,,,,,,,,,,,,,,
AEO22_BO_220829_F,AEO22,BO,BO_220829,bottaro,9,EU,Italy,2022,2022-08-29 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,submarine ,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.3819,15.0637,-8,68.4,6.74,57.24,-40.8,5.9,5.79,28.62,38.02,215,,,,,,,,30798.135,64.914,,3047.604,,,11913.94,,428.49,1438.4785,473.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23014.24239,,,,,,,,,,,,,,,,
AEO22_HO_220830_F,AEO22,HO,HO_220830,hotel_oasi,11,EU,Italy,2022,2022-08-30 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,subaerial,,,,,,igneous,ign_intermediate,Quaternary andesite,,38.637719,15.075066,25,50.8,5.98,43.83,106.9,30.4,1.56,21.91,27.48,655,,,,,,,,20455.12,50.4615,39.173,2114.271,,,8291.788,,347.792,1037.778,437.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74025047,0.000532962,,7.09613E-05,,0.000628151,0.001958105,0.222433988,,,,,,,,,,,,,22351.01474,,,,,,,,,,,,,,,,
AEO22_BS_220902_F,AEO22,BS,BS_220902,bagno_secco_sorgente_rossa,13,EU,Italy,2022,2022-09-02 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,subaerial,,,,,,igneous,ign_felsic,Quaternary rhyolite,,38.491391,14.908525,192,46.2,6.56,3.3,-51.8,52,,1660,1.69,490,,,,,,,,173.812,,1.172,672.2445,,,150.349,3.729,42.2435,90.981,191.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.224233258,0,,9.98143E-06,,0.970144277,0.051966277,4.091938515,,,,,,,,,,,,,22904.45452,,,,,,,,,,,,,,,,
AEO22_TC_220902_F,AEO22,TC,TC_220902,terme_san_calogero_stufa,14,EU,Italy,2022,2022-09-02 00:00:00,,plate margin,convergent,oceanic,volcanic_arc,subaerial,,,,,,igneous,ign_felsic,Quaternary rhyolite,,38.477998,14.910223,180,37.8,7.8,2.913,-4.5,82.1,5.52,1457,1.49,630,,,,,,,,238.9925,0.702,10.9,735.8645,,,337.3025,1.665,33.8675,108.59,64.2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87934197,0,,6.31726E-06,,0.008395707,0.017259797,0.737310873,,,,,,,,,,,,,22939.307,,,,,,,,,,,,,,,,
