V1,V2,V3
-130,30,-4516.20703125
-129.933244325768,30,-4730.45703125
-129.866488651535,30,-4822.63818359375
-129.799732977303,30,-4800.1982421875
-129.732977303071,30,-4667.67822265625
-129.666221628838,30,-4769.908203125
-129.599465954606,30,-4691.2578125
-129.532710280374,30,-4660.6982421875
-129.465954606142,30,-4637.748046875
-129.399198931909,30,-4661.64794921875
-129.332443257677,30,-4502.65478515625
-129.265687583445,30,-4432.69482421875
-129.198931909212,30,-4658.5849609375
-129.13217623498,30,-4594.3046875
-129.065420560748,30,-4419.455078125
-128.998664886515,30,-4621.71484375
-128.931909212283,30,-4640.375
-128.865153538051,30,-4517.8349609375
-128.798397863818,30,-4055.70727539062
-128.731642189586,30,-3964.34716796875
-128.664886515354,30,-4359.05712890625
-128.598130841122,30,-4492.54736328125
-128.531375166889,30,-4349.27734375
-128.464619492657,30,-4470.52734375
-128.397863818425,30,-4482.83740234375
-128.331108144192,30,-4560.4169921875
-128.26435246996,30,-4541.2578125
-128.197596795728,30,-4578.27783203125
-128.130841121495,30,-4558.3076171875
-128.064085447263,30,-4568.61767578125
-127.997329773031,30,-4524.9677734375
-127.930574098798,30,-4619.86767578125
-127.863818424566,30,-4541.0576171875
-127.797062750334,30,-4338.74755859375
-127.730307076101,30,-4457.98779296875
-127.663551401869,30,-4362.06787109375
-127.596795727637,30,-4513.0078125
-127.530040053405,30,-4397.2177734375
-127.463284379172,30,-4426.3876953125
-127.39652870494,30,-4514.7275390625
-127.329773030708,30,-4580.84765625
-127.263017356475,30,-4428.8076171875
-127.196261682243,30,-4441.166015625
-127.129506008011,30,-4417.49609375
-127.062750333778,30,-4283.255859375
-126.995994659546,30,-4265.416015625
-126.929238985314,30,-4405.30615234375
-126.862483311081,30,-4122.60595703125
-126.795727636849,30,-4344.43603515625
-126.728971962617,30,-4397.93603515625
-126.662216288385,30,-4283.84033203125
-126.595460614152,30,-4235.990234375
-126.52870493992,30,-4286.740234375
-126.461949265688,30,-4323.18017578125
-126.395193591455,30,-4305.22021484375
-126.328437917223,30,-4167.650390625
-126.261682242991,30,-4111.16015625
-126.194926568758,30,-4063.85034179688
-126.128170894526,30,-3918.10766601562
-126.061415220294,30,-4117.20751953125
-125.994659546061,30,-3649.24755859375
-125.927903871829,30,-4213.98779296875
-125.861148197597,30,-4439.24755859375
-125.794392523364,30,-4353.48779296875
-125.727636849132,30,-4353.6376953125
-125.6608811749,30,-4370.767578125
-125.594125500668,30,-4179.38134765625
-125.527369826435,30,-4384.84130859375
-125.460614152203,30,-4430.111328125
-125.393858477971,30,-4441.01123046875
