V1,V2,V3
-80,-15,-4551.025390625
-79.9331848552338,-15,-4603.4951171875
-79.8663697104677,-15,-4630.6650390625
-79.7995545657016,-15,-4619.34521484375
-79.7327394209354,-15,-4679.6943359375
-79.6659242761693,-15,-4633.3447265625
-79.5991091314031,-15,-4571.2744140625
-79.532293986637,-15,-4571.1845703125
-79.4654788418708,-15,-4575.12451171875
-79.3986636971047,-15,-4582.1943359375
-79.3318485523385,-15,-4550.99462890625
-79.2650334075724,-15,-4491.1044921875
-79.1982182628062,-15,-4384.0947265625
-79.1314031180401,-15,-4419.73486328125
-79.0645879732739,-15,-4415.224609375
-78.9977728285078,-15,-4296.0546875
-78.9309576837417,-15,-4301.044921875
-78.8641425389755,-15,-4299.794921875
-78.7973273942093,-15,-4282.875
-78.7305122494432,-15,-4201.43505859375
-78.6636971046771,-15,-4135.84521484375
-78.5968819599109,-15,-4191.14501953125
-78.5300668151448,-15,-4185.125
-78.4632516703786,-15,-4120.60498046875
-78.3964365256125,-15,-4143.6552734375
-78.3296213808463,-15,-4162.47509765625
-78.2628062360802,-15,-4113.80517578125
-78.195991091314,-15,-4156.52490234375
-78.1291759465479,-15,-4137.6796875
-78.0623608017817,-15,-4125.06982421875
-77.9955456570156,-15,-3969.65991210938
-77.9287305122494,-15,-4038.61987304688
-77.8619153674833,-15,-4011.05981445312
-77.7951002227172,-15,-4031.15991210938
-77.728285077951,-15,-3983.7900390625
-77.6614699331849,-15,-4040.5498046875
-77.5946547884187,-15,-4011.57055664062
-77.5278396436526,-15,-3833.61059570312
-77.4610244988864,-15,-3723.69067382812
-77.3942093541203,-15,-3588.82055664062
-77.3273942093541,-15,-3762.5205078125
-77.260579064588,-15,-3796.05053710938
-77.1937639198218,-15,-3662.04052734375
-77.1269487750557,-15,-3629.060546875
-77.0601336302895,-15,-3691.92724609375
-76.9933184855234,-15,-3708.037109375
-76.9265033407572,-15,-3734.59716796875
-76.8596881959911,-15,-3832.79711914062
-76.7928730512249,-15,-3969.33715820312
-76.7260579064588,-15,-4182.7373046875
-76.6592427616927,-15,-4376.83740234375
-76.5924276169265,-15,-4671.6171875
-76.5256124721604,-15,-4767.3671875
-76.4587973273942,-15,-4467.50732421875
-76.3919821826281,-15,-3882.25708007812
-76.3251670378619,-15,-3050.62719726562
-76.2583518930958,-15,-2634.72729492188
-76.1915367483296,-15,-2410.9072265625
-76.1247216035635,-15,-2233.77709960938
-76.0579064587973,-15,-1899.9072265625
-75.9910913140312,-15,-1279.142578125
-75.924276169265,-15,-639.37255859375
-75.8574610244989,-15,-361.512573242188
-75.7906458797327,-15,-237.752578735352
-75.7238307349666,-15,-182.282577514648
-75.6570155902004,-15,-133.912582397461
-75.5902004454343,-15,-78.7825775146484
-75.5233853006682,-15,-54.0925788879395
-75.456570155902,-15,84.6675033569336
-75.3897550111359,-15,748.9375
-75.3229398663697,-15,960.477478027344
-75.2561247216036,-15,1220.9375
-75.1893095768374,-15,1068.58752441406
-75.1224944320713,-15,623.607482910156
-75.0556792873051,-15,515.397521972656
-74.988864142539,-15,740.45751953125
-74.9220489977728,-15,849.277465820312
-74.8552338530067,-15,1251.607421875
-74.7884187082405,-15,1525.05749511719
-74.7216035634744,-15,1630.13745117188
-74.6547884187082,-15,1693.81750488281
-74.5879732739421,-15,1954.78747558594
-74.5211581291759,-15,2040.37744140625
-74.4543429844098,-15,1764.6875
-74.3875278396437,-15,1844.20446777344
-74.3207126948775,-15,1803.564453125
-74.2538975501114,-15,3019.04443359375
-74.1870824053452,-15,3420.34448242188
-74.1202672605791,-15,3407.63452148438
-74.0534521158129,-15,3310.65454101562
-73.9866369710468,-15,3430.79443359375
-73.9198218262806,-15,3680.89453125
-73.8530066815145,-15,3126.99194335938
-73.7861915367483,-15,3261.34204101562
-73.7193763919822,-15,4022.10205078125
-73.652561247216,-15,3920.01196289062
-73.5857461024499,-15,3781.921875
-73.5189309576837,-15,4161.48193359375
-73.4521158129176,-15,4382.19189453125
-73.3853006681514,-15,3789.14184570312
-73.3184855233853,-15,3748.31396484375
-73.2516703786192,-15,4668.59375
-73.184855233853,-15,4546.173828125
-73.1180400890869,-15,4546.90380859375
-73.0512249443207,-15,4756.173828125
-72.9844097995546,-15,4692.1640625
-72.9175946547884,-15,4448.85400390625
-72.8507795100223,-15,4748.9541015625
-72.7839643652561,-15,4736.59716796875
-72.71714922049,-15,4095.49731445312
-72.6503340757238,-15,4473.4873046875
