"SampleID","Cluster"
"AEO22_AC_220827_F","3"
"AEO22_BO_220829_F","3"
"AEO22_BP2_220829_F","3"
"AEO22_BS_220902_F","3"
"AEO22_CF_220902_F","3"
"AEO22_FV_220827_F","2"
"AEO22_GV_220827_F","3"
"AEO22_HO_220830_F","3"
"AEO22_LB_220827_F","3"
"AEO22_TC_220902_F","3"
"ARG19_AO_190224_F","2"
"ARG19_AO_190224_S","1"
"ARG19_BJ_190227_F","2"
"ARG19_BJ_190227_S","2"
"ARG19_GA_190226_F","1"
"ARG19_GA_190226_S","2"
"ARG19_GF1_190226_F","1"
"ARG19_GF1_190226_S","1"
"ARG19_GF2_190226_F","1"
"ARG19_GF2_190226_S","1"
"ARG19_IN_190223_F","2"
"ARG19_IN_190223_S","2"
"ARG19_LC_190226_F","1"
"ARG19_LC_190226_S","1"
"ARG19_PG_190225_F","2"
"ARG19_PG_190225_S","1"
"ARG19_PM_190223_F","2"
"ARG19_PM_190223_S","2"
"ARG19_PP_190301_S","2"
"ARG19_RF_190301_S","1"
"ARG19_TM_190224_S","2"
"ARG19_VV_190228_F","2"
"CH20_AU_200310_F","1"
"CH20_AU_200310_S","1"
"CH20_BM_200304_F","1"
"CH20_BM_200304_S","2"
"CH20_CP_200307_F","1"
"CH20_CQ_200302_F","1"
"CH20_CT_200308_F","2"
"CH20_EM_200307_F","1"
"CH20_EM_200307_S","1"
"CH20_GS_200305_F","2"
"CH20_PM_200308_F","1"
"CH20_PM_200308_S","1"
"CH20_SP_200306_F","1"
"CH20_SP_200306_S","2"
"CH20_TF_200303_F","2"
"CH20_TF_200303_S","2"
"CH20_TP_200304_F","1"
"CHL22_AV_220320_F","2"
"CHL22_CA_220323_F","3"
"CHL22_CC_220324_F","3"
"CHL22_CE_220402_F","3"
"CHL22_CH_220319_F","3"
"CHL22_CN_220327_F","3"
"CHL22_CP_220402_F","3"
"CHL22_CR_220324_F","3"
"CHL22_CU_220402_F","3"
"CHL22_CZ_220329_F","3"
"CHL22_EQ_220330_F","3"
"CHL22_GB_220322_F","3"
"CHL22_IS_220328_F","3"
"CHL22_JR_220403_F","3"
"CHL22_LA_220331_F","3"
"CHL22_LC_220316_F","3"
"CHL22_LN_220321_F","3"
"CHL22_LP_220401_F","3"
"CHL22_LR_220331_F","3"
"CHL22_LV_220331_F","3"
"CHL22_OA_220325_F","3"
"CHL22_PJ_220330_F","3"
"CHL22_PQ_220401_F","2"
"CHL22_PR_220403_F","3"
"CHL22_QN_220317_F","3"
"CHL22_RS_220319_F","3"
"CHL22_SR_220328_F","3"
"CHL22_TL_220327_F","2"
"CHL22_TT_220331_F","2"
"CR17_AR170220_3_S","1"
"CR17_BR170218_1_F","3"
"CR17_BR170218_1_S","3"
"CR17_BR170218_2_F","3"
"CR17_BR170218_2_S","3"
"CR17_CY170214_F","2"
"CR17_CY170214_S","3"
"CR17_EP170215_F","3"
"CR17_EP170215_S","3"
"CR17_ES170215_1_F","2"
"CR17_ET170220_1_S","3"
"CR17_FA170219_1_S","3"
"CR17_MT170219_F","3"
"CR17_PF170222_F","2"
"CR17_PF170222_S","3"
"CR17_PG172224_F","2"
"CR17_PG172224_S","3"
"CR17_PL170224_S","2"
"CR17_QH170213_1_F","2"
"CR17_QH170213_1_S","3"
"CR17_QH170213_2_S","3"
"CR17_QN170220_F","3"
"CR17_QN170220_S","3"
"CR17_RS170216_F","2"
"CR17_RS170216_S","3"
"CR17_RV170221_F","3"
"CR17_S14_S","2"
"CR17_SI170217_F","2"
"CR17_SI170217_S","3"
"CR17_SL170214_F","2"
"CR17_SL170214_S","2"
"CR17_TC170221_F","3"
