gcf_id,Category
NRPS_gcf_1,NRPS
NRPS_gcf_10,NRPS
NRPS_gcf_100,NRPS
NRPS_gcf_1000,NRPS
NRPS_gcf_1001,NRPS
NRPS_gcf_1002,NRPS
NRPS_gcf_1003,NRPS
NRPS_gcf_1004,NRPS
NRPS_gcf_1005,NRPS
NRPS_gcf_1006,NRPS
NRPS_gcf_1007,NRPS
NRPS_gcf_1008,NRPS
NRPS_gcf_1009,NRPS
NRPS_gcf_101,NRPS
NRPS_gcf_1010,NRPS
NRPS_gcf_1011,NRPS
NRPS_gcf_1012,NRPS
NRPS_gcf_1013,NRPS
NRPS_gcf_1014,NRPS
NRPS_gcf_1015,NRPS
NRPS_gcf_1016,NRPS
NRPS_gcf_1017,NRPS
NRPS_gcf_1018,NRPS
NRPS_gcf_1019,NRPS
NRPS_gcf_102,NRPS
NRPS_gcf_1020,NRPS
NRPS_gcf_1021,NRPS
NRPS_gcf_1022,NRPS
NRPS_gcf_1023,NRPS
NRPS_gcf_1024,NRPS
NRPS_gcf_1025,NRPS
NRPS_gcf_1026,NRPS
NRPS_gcf_1027,NRPS
NRPS_gcf_1028,NRPS
NRPS_gcf_1029,NRPS
NRPS_gcf_103,NRPS
NRPS_gcf_1030,NRPS
NRPS_gcf_1031,NRPS
NRPS_gcf_1032,NRPS
NRPS_gcf_1033,NRPS
NRPS_gcf_1034,NRPS
NRPS_gcf_1035,NRPS
NRPS_gcf_1036,NRPS
NRPS_gcf_1037,NRPS
NRPS_gcf_1038,NRPS
NRPS_gcf_1039,NRPS
NRPS_gcf_104,NRPS
NRPS_gcf_1040,NRPS
NRPS_gcf_1041,NRPS
NRPS_gcf_1042,NRPS
NRPS_gcf_1043,NRPS
NRPS_gcf_1044,NRPS
NRPS_gcf_1045,NRPS
NRPS_gcf_1046,NRPS
NRPS_gcf_1047,NRPS
NRPS_gcf_1048,NRPS
NRPS_gcf_1049,NRPS
NRPS_gcf_105,NRPS
NRPS_gcf_1050,NRPS
NRPS_gcf_1051,NRPS
NRPS_gcf_1052,NRPS
NRPS_gcf_1053,NRPS
NRPS_gcf_1054,NRPS
NRPS_gcf_1055,NRPS
NRPS_gcf_1056,NRPS
NRPS_gcf_1057,NRPS
NRPS_gcf_1058,NRPS
NRPS_gcf_1059,NRPS
NRPS_gcf_106,NRPS
NRPS_gcf_1060,NRPS
NRPS_gcf_1061,NRPS
NRPS_gcf_1062,NRPS
NRPS_gcf_1063,NRPS
NRPS_gcf_1064,NRPS
NRPS_gcf_1065,NRPS
NRPS_gcf_1066,NRPS
NRPS_gcf_1067,NRPS
NRPS_gcf_1068,NRPS
NRPS_gcf_1069,NRPS
NRPS_gcf_107,NRPS
NRPS_gcf_1070,NRPS
NRPS_gcf_1071,NRPS
NRPS_gcf_1072,NRPS
NRPS_gcf_1073,NRPS
NRPS_gcf_1074,NRPS
NRPS_gcf_1075,NRPS
NRPS_gcf_1076,NRPS
NRPS_gcf_1077,NRPS
NRPS_gcf_1078,NRPS
NRPS_gcf_1079,NRPS
NRPS_gcf_108,NRPS
NRPS_gcf_1080,NRPS
NRPS_gcf_1081,NRPS
NRPS_gcf_1082,NRPS
NRPS_gcf_1083,NRPS
NRPS_gcf_1084,NRPS
