BGC ID,Louvain cluster,closest MIBiG BGC,distance to closest MIBiG,Is_0.51_Assigned
CHL22_OA_220325_F_contig_42820.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_871200.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_LP_220401_F_contig_76724.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
AEO22_GV_220827_F_contig_4405.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_10269.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR17_SL170214_S_contig_629.region001.gbk_region_1,C3338535,BGC0000203.gbk_region_1,0.48,No (Directly observed)
CR18_LE180416_F_contig_18527.region001.gbk_region_1,C3338535,BGC0002374.gbk_region_1,0.49,No (Directly observed)
CHL22_CH_220319_F_contig_103011.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_1005.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
SJ_230730_S_NODE_29_length_142181_cov_9.673211.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CHL22_EQ_220330_F_contig_1099.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CR18_LE180416_F_contig_27421.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CHL22_PR_220403_F_contig_28207.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_SC180411_F_contig_4.region002.gbk_region_2,C3338538,None,0.51,Yes (No MIBiG connection)
FEN_PI_S_NODE_3412_length_2378_cov_2.895824.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_PX180416_S_contig_17806.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_665605.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_78650.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_F_contig_9612.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CR18_HA180403_F_contig_12825.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
HYD22_FC_221023_F_contig_95.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545384_k141_148602.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_RS_220319_F_contig_38342.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
NR_230731_S_NODE_2687_length_11110_cov_1.939270.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
AEO22_HO_220830_F_contig_8234.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CHL22_PR_220403_F_contig_45697.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_11558.region001.gbk_region_1,C3338538,None,0.51,Yes (No MIBiG connection)
CHL22_CZ_220329_F_contig_68334.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
HYD22_FC_221023_F_contig_6243.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_CN_220327_F_contig_44716.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_29134_length_4458_cov_1.035096.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_BS180407_F_contig_6542.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_69946.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR17_EP170215_S_contig_3142.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
EPR_teddybear_k141_559696.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
HYD22_CB_221018_F_contig_15899.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_51587_length_2969_cov_0.765306.region001.gbk_region_1,C3338536,None,0.51,Yes (No MIBiG connection)
AEO22_GV_220827_F_contig_17935.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_593680.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
CR18_YR180404_F_contig_27132.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
CR18_GE180403_S_contig_29316.region001.gbk_region_1,C3338540,None,0.51,Yes (No MIBiG connection)
CR18_LW180405_S_contig_6455.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_3095148.region001.gbk_region_1,C3338535,None,0.51,Yes (No MIBiG connection)
FEN_LS_F_NODE_10418_length_3188_cov_4.592084.region001.gbk_region_1,C3338537,None,0.51,Yes (No MIBiG connection)
