BGC ID,Louvain cluster,closest MIBiG BGC,distance to closest MIBiG,Is_0.51_Assigned
FEN_LS_F_NODE_3613_length_6488_cov_3.776310.region001.gbk_region_1,C843207,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_S_contig_15063.region001.gbk_region_1,C843207,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_111649.region001.gbk_region_1,C843208,None,0.51,Yes (No MIBiG connection)
CR18_LB180410_F_contig_19344.region001.gbk_region_1,C843207,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_18289.region001.gbk_region_1,C843208,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_40161.region001.gbk_region_1,C843208,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_55139.region001.gbk_region_1,C843207,None,0.51,Yes (No MIBiG connection)
CHL22_RS_220319_F_contig_2098.region001.gbk_region_1,C843207,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_94744.region001.gbk_region_1,C843207,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_34272.region001.gbk_region_1,C843207,None,0.51,Yes (No MIBiG connection)
CR18_CI180408_S_contig_1.region003.gbk_region_3,C843208,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_67982.region001.gbk_region_1,C843210,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_7970.region001.gbk_region_1,C843209,None,0.51,Yes (No MIBiG connection)
FEN_LS_F_NODE_2_length_324642_cov_12.682720.region001.gbk_region_1,C843208,None,0.51,Yes (No MIBiG connection)
FEN_LS_S_NODE_1223_length_20415_cov_10.065570.region001.gbk_region_1,C843208,None,0.51,Yes (No MIBiG connection)
NR_230731_F_NODE_264_length_44722_cov_2.399058.region001.gbk_region_1,C843209,None,0.51,Yes (No MIBiG connection)
SJ_230730_F_NODE_137_length_54728_cov_8.204992.region001.gbk_region_1,C843209,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_92453.region001.gbk_region_1,C843209,None,0.51,Yes (No MIBiG connection)
