BGC ID,Louvain cluster,closest MIBiG BGC,distance to closest MIBiG,Is_0.51_Assigned
CHL22_LP_220401_F_contig_14955.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_TT_220331_F_contig_2193.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
HYD22_TA_221020_F_contig_2892.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_LP_220401_F_contig_65386.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_92862.region001.gbk_region_1,C9502754,None,0.51,Yes (No MIBiG connection)
CR18_CV180410_S_contig_13623.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
HYD22_TA_221020_F_contig_437.region001.gbk_region_1,C9502751,None,0.51,Yes (No MIBiG connection)
CR19_AC_190614_S_contig_32.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_CN_220327_F_contig_44110.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_97.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
HYD22_SC_221020_F_contig_1415.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_43269.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_67901.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
CHL22_CN_220327_F_contig_4166.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_EQ_220330_F_contig_20773.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
AEO22_OS_220830_F_contig_62181.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_62780.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_LN_220321_F_contig_28131.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_34664.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_99747.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
HYD22_TA_221020_F_contig_2661.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_55639.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
CR17_CY170214_S_contig_32451.region001.gbk_region_1,C9502749,BGC0002173.gbk_region_1,0.48,No (Directly observed)
CR18_MC180404_S_contig_200.region001.gbk_region_1,C9502752,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_1437.region001.gbk_region_1,C9502752,None,0.51,Yes (No MIBiG connection)
NR_230731_F_NODE_13927_length_4193_cov_1.007378.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_92051.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_19610.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
HYD22_CB_221018_F_contig_3026.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
CR17_SI170217_S_contig_54064.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_134107.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
AEO22_BO_220829_F_contig_6467.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_195122.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
CHL22_GB_220322_F_contig_13760.region001.gbk_region_1,C9502750,None,0.51,Yes (No MIBiG connection)
NR_230731_F_NODE_932_length_22345_cov_1.797236.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_2675_length_27515_cov_1.466226.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
CR18_RR180407_F_contig_26372.region001.gbk_region_1,C9502749,None,0.51,Yes (No MIBiG connection)
