BGC ID,Louvain cluster,closest MIBiG BGC,distance to closest MIBiG,Is_0.51_Assigned
GUY_SRR21545388_k141_2058316.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_132702.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CHL22_PJ_220330_F_contig_31720.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_TT_220331_F_contig_9836.region001.gbk_region_1,C4401120,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_48062.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_52555.region001.gbk_region_1,C4401117,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_95468.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_56026.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_45198_length_3261_cov_1.626675.region001.gbk_region_1,C4401120,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_58805_length_2705_cov_0.852211.region001.gbk_region_1,C4401122,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_132098.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR18_LE180416_S_contig_417.region001.gbk_region_1,C4401122,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_90721.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
HYD22_SF_221019_F_contig_6151.region001.gbk_region_1,C4401120,None,0.51,Yes (No MIBiG connection)
CHL22_CZ_220329_F_contig_63978.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR18_CZ180409_F_contig_5577.region001.gbk_region_1,C4401120,None,0.51,Yes (No MIBiG connection)
CHL22_CZ_220329_F_contig_62553.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR18_LH180406_F_contig_1970.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
HYD22_SC_221020_F_contig_810.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
ARG19_IN_190223_S_contig_12032.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR17_CY170214_S_contig_9394.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_105194.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CZ_220329_F_contig_24334.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CH20_GS_200305_F_contig_580.region001.gbk_region_1,C4401115,BGC0000572.gbk_region_1,0.44,No (Directly observed)
CR18_LH180406_F_contig_13724.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_83373.region001.gbk_region_1,C4401119,BGC0000593.gbk_region_1,0.47,No (Directly observed)
TR_230731_F_NODE_31059_length_2427_cov_0.832609.region001.gbk_region_1,C4401122,None,0.51,Yes (No MIBiG connection)
HYD22_SP_221019_F_contig_147.region001.gbk_region_1,C4401120,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_23512.region001.gbk_region_1,C4401116,None,0.51,Yes (No MIBiG connection)
CHL22_TT_220331_F_contig_2809.region001.gbk_region_1,C4401120,None,0.51,Yes (No MIBiG connection)
CR17_BR170218_2_S_contig_50657.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CR18_MC180404_S_contig_126.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
KJ_230721_F_NODE_2274_length_31428_cov_14.727804.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_105720.region001.gbk_region_1,C4401117,None,0.51,Yes (No MIBiG connection)
CHL22_RS_220319_F_contig_2877.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_15197.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
AEO22_HO_220830_F_contig_48466.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
HYD22_FC_221023_F_contig_53420.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
AEO22_GV_220827_F_contig_61181.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_22781.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_61168.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
AEO22_HO_220830_F_contig_2604.region001.gbk_region_1,C4401116,None,0.51,Yes (No MIBiG connection)
AEO22_LB_220827_F_contig_685.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_34388.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_F_contig_3416.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_LC_220316_F_contig_45164.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_EQ_220330_F_contig_45860.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
SJ_230730_S_NODE_1_length_866191_cov_14.432171.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_157375.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_24417.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_358284.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CR_220324_F_contig_33924.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_5709.region002.gbk_region_2,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_SR_220328_F_contig_29141.region001.gbk_region_1,C4401118,None,0.51,Yes (No MIBiG connection)
CR18_RC180404_S_contig_36722.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR17_RV170221_F_contig_10.region002.gbk_region_2,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_37507.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CA_220323_F_contig_53396.region001.gbk_region_1,C4401117,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_449278.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR18_CH180410_F_contig_9620.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CC_220324_F_contig_49146.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
EPR_riftia_k141_386798.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_175016.region001.gbk_region_1,C4401122,None,0.51,Yes (No MIBiG connection)
CR18_CW180415_F_contig_42.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
HYD22_CB_221018_F_contig_143.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CH_220319_F_contig_97536.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CZ_220329_F_contig_80559.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_82035.region001.gbk_region_1,C4401122,None,0.51,Yes (No MIBiG connection)
CR18_GE180403_S_contig_25477.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CR18_LB180410_F_contig_18349.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
HYD22_SB_221021_F_contig_9915.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR17_BR170218_2_S_contig_17570.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR17_BR170218_1_S_contig_4148.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_13617.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR17_PG172224_S_contig_16261.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_GB_220322_F_contig_36624.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CH20_TF_200303_S_contig_352.region001.gbk_region_1,C4401122,None,0.51,Yes (No MIBiG connection)
GUY_SRR21545388_k141_679518.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_74224.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CHL22_CU_220402_F_contig_22707.region001.gbk_region_1,C4401119,None,0.51,Yes (No MIBiG connection)
CR17_CY170214_S_contig_32885.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_OA_220325_F_contig_8102.region001.gbk_region_1,C4401116,None,0.51,Yes (No MIBiG connection)
CR18_CW180415_F_contig_1100.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CR17_QN170220_S_contig_6726.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
EPR_teddybear_k141_111965.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
CHL22_QN_220317_F_contig_6228.region001.gbk_region_1,C4401115,None,0.51,Yes (No MIBiG connection)
HYD22_SP_221019_F_contig_26.region001.gbk_region_1,C4401120,None,0.51,Yes (No MIBiG connection)
